"","(15Z)-Tetracosenoic acid","(5-L-Glutamyl)-L-glutamine","1-4-beta-D-Xylan","10(S)17(S)-DiHDHA/protectin D1","11-HETE","12(S)-HETE","15(S)-HETE","2-Oxoglutaramate","2-Oxoglutarate","3',5'-Cyclic IMP","3-Methyleneoxindole","4-Acetamidobutanoate","4-Pyridoxate","5'-Phosphoribosyl-N-formylglycinamide","5-6-Dihydrothymine","5-Guanidino-2-oxopentanoate","5-Hydroxyindoleacetate","5-Hydroxyisourate","5-Oxoproline","5(S)-HETE","acetyl-carnitine","Acetylcholine","acyl-C12 (O-dodecanoyl-carnitine)","acyl-C12:1 (O-dodecenoyl-carnitine)","acyl-C14 (O-tetradecanoyl-L-carnitine)","acyl-C14:1 (Tetradecenoyl Carnitine)","acyl-C16 (L-Palmitoylcarnitine)","acyl-C16:1 (Hexadecenoyl-carnitine)","acyl-C18 (Octadecanoyl-L-carnitine)","acyl-C18:1 (O-octadecenoyl-L-carnitine)","acyl-C18:2","acyl-C4-DC","acyl-C5","acyl-C5-OH","acyl-C5:1","Adenine","Adenosine","Alanine","Allantoate","AMP","Anthranilate","Arginine","Ascorbate","Asparagine","Aspartate","butanoyl-l-carnitine","Chenodeoxycholic acid","Cholic acid","Choline","Citrate","Creatine","Creatinine","Cys-Gly","Cysteine","Cystine","D-Arabitol","D-Glucono-1-5-lactone 6-phosphate","D-Glucose","D-Rhamnose","D-Ribose","Decanoic acid (caprate)","Dehydroascorbate","Deoxycholic acid","DiHOME","Dihomo-g-Linolenic acid/eicosatrienoic acid","Dimethylglycine","Diphosphate","Docosahexaenoic acid","Docosapentaenoic acid","Dodecanedioic acid","Dodecanoic acid","Dopamine","Ectoine","EpOME/HODE","Fumarate","gamma-Glutamyl-Se-methylselenocysteine","gamma-L-Glutamyl-D-alanine","Glutamate","Glutamine","Glycerol 3-phosphate","Glycine","Glycochenodeoxycholic acid","Glycocholic acid","Guanidinoacetate","Guanine","HEPE/oxoETE","Heptanoic acid","Hexadecanoic acid","Hexadecenoic acid","Hexanoic acid (caproate)","hexanoyl-L-carnitine","Hexose phosphate","Histidine","HOTrE/oxoODE","Hypoxanthine","Icosapentaenoic acid","Icosatetraenoic acid","IDP","Indole","Indole-3-acetaldehyde","Indole-3-acetate","kynurenine","L-Adrenaline","L-Arabinose","L-Carnitine","L-Citrulline","L-Methionine S-oxide","L-octanoylcarnitine","Lactate","Leucine/isoleucine","Leukotriene B4/PGA1/PGB1","Linoleate","LPA_16:0","LPA_16:1","LPA_18:2","LPA_20:4","Lysine","Lysophosphatidic Acid","Lysophosphatidylinositol","Malate","Maltose","Mannitol","Methionine","N-Acetylneuraminate","N-Acetylornithine","N-formyl kynurenine","Nonanoic acid (pelargonate)","O-Decanoyl-L-carnitine","O-Decenoyl-L-carnitine","Octadecanoic acid","Octadecatrienoic acid","Octadecenoic acid (Oleic acid)","Octanoic acid (caprylate)","octenoyl-l-carnitine","Ornithine","Oxaloacetate","Pantothenate","Phenylalanine","Phosphate","Picolinic acid","Proline","propionyl-carnitine","Prostaglandin A2/B2/J2","Prostaglandin A3/B3","Pyridoxal","Pyridoxamine 5'-phosphate","Pyruvate","quinolinic acid","Resolvin D1/D2","S-Adenosyl-L-homocysteine","Serine","Sphinganine 1-phosphate","Sphingosine","Sphingosine 1-phosphate","Stearidonic acid","Succinate","Taurine","Taurochenodeoxycholic acid","Taurocholic acid","Taurodeoxycholic acid","Taurolithocholic acid","Tauroursodeoxycholic acid","Tetradecanoic acid","Threonine","Thymidine","trans-4-Hydroxy-L-proline","Tryptophan","Tyrosine","UDP","UMP","Urate","Ursodeoxycholic acid","Valine","Xanthine"
"HTP0332A",360430.4582,39144.09953,123182.1211,8214.774133,7180.683401,5974.520807,2451.976075,29320.53235,81152.82645,24938195.01,1322380.636,62206.42053,21304.40472,560.0839138,494921.4214,2371255.517,219939.8043,260989.9875,3013971.249,2977.860512,5132438.582,710984.153,71528.40536,64602.23574,55334.97204,66879.46146,589911.2327,28903.43909,140449.1616,1109729.389,220569.5473,17789.14966,218162.763,33894.01783,33186.47328,55090.35728,5847.042959,7512270.907,323722.9012,10227.58333,135061.5011,1203837.294,147207.4642,503026.7093,583164.0546,136976.2486,391645.0416,122537.5546,4890856.375,1180879.483,1762228.427,6061799.934,13671.1729,30021.48801,311531.9251,13148.06599,1954.67868,3999019.294,124819.2838,81874.32054,83942.71008,135775.3021,286907.5515,35383.60111,272076.5449,431466.0412,1389.671886,775634.1821,8779.755921,20329.07027,88549.34536,5632.280367,193736.0175,137780.8043,79008.61388,44546.8427,121396.68,451232.3573,8936258.582,5177.305625,1278208.464,1021799.916,139528.9078,103802.1053,87521.60768,805.9785934,69985.9579,30652439.89,1380022.366,148639.593,60430.51627,16197.38985,1738466.899,93874.3276,108466.4399,79477.28157,1614068.547,124146.0193,506253.8666,62136.5513,62211.27255,905654.2084,781691.5224,81874.32054,26564167.07,372237.1273,38767.14247,280694.365,20917882.04,26676765.07,8849.612762,17861626.47,7444.24427,2329.059303,99482.94686,32211.2552,4086217.875,16050.82963,9866.131578,163749.9519,12927.89757,151317.8432,2974579.991,15009.40209,1998608.468,27076.41007,125644.6259,227711.1612,139769.3167,22267243.79,1566332.295,32467765.84,77648.88892,327852.3395,1347049.991,11144.75818,50064.45893,30944065.81,1080446.251,185760.1727,9447116.787,702393.989,1531.989641,22162.06671,1151.561576,4423.346119,554512.4039,19273.4972,52904.61645,14490.31514,804342.9393,95300.66321,77562.81753,454428.5222,31337.35194,83066.10876,265644.7223,191256.3929,41610.69964,54357.23513,13020.59592,8645.480966,571871.358,1653980.815,170134.0223,1110048.291,19362066.49,9617887.563,404371.4171,63763.87162,21685877.74,58297.68305,16982965.58,51889.72649
"HTP0333A2",318791.6547,44896.97205,145704.3224,15889.62472,5057.018846,3124.346652,766.9823465,23391.77365,75270.62565,26689710.1,1606467.44,36356.14417,31447.03368,230.8365203,479851.2931,3176967.715,375314.8558,313116.1095,2788399.455,4146.9483,7424200.253,717814.1029,287602.8141,237382.2165,77334.5893,211957.2831,440565.8663,61925.44065,118718.711,921843.5773,260828.7126,24934.22723,216528.7075,28902.64228,36379.9233,55949.31634,40135.05791,7358793.408,449259.2941,9406.072858,81265.83252,1022926.558,72974.64455,562050.9975,606706.2122,68438.43755,43877.55161,30262.49809,8459530.434,644940.6795,2139489.661,7309543.116,16500.32078,42405.74094,635501.8066,16820.72468,4606.288261,4869178.6,119337.585,95713.81393,101251.5171,59632.53803,240835.249,35955.20881,584713.8505,445620.403,1224.456833,1542565.262,29026.75117,19228.15514,136697.3861,5767.945111,146536.815,40825.69505,49271.30293,35050.61718,90474.08667,348465.22,11384625.32,2234.493448,1576565.552,242484.1174,24864.91179,175721.4337,23660.11887,904.55044,65652.35158,29882083.52,7993642.845,160609.874,66740.86141,25059.29072,1829350.395,18065.36322,982083.0089,150970.9208,3271010.121,63411.68828,1028478.604,69265.62105,148623.0964,1636352.018,1074114.231,95713.81393,30010333.06,719364.7647,36310.74795,290548.0922,18163452.66,45483921.56,48075.1708,30673875.99,7648.371819,766.3117039,43168.28871,24307.53486,5490391.867,5516.120962,25588.49861,84845.05732,5678.279874,207498.079,3721614.015,25228.5644,4062893.02,50577.62571,129790.8105,180665.1878,142180.4984,18363002.65,2495486.594,49371616.41,76822.90847,278303.5726,1876827.293,8792.508558,150254.5057,50882905.21,1303719.317,130746.9436,9246923.529,407246.5123,1090.91765,21200.3781,1567.01952,3263.690888,606902.3022,20983.01704,75831.97792,18633.15925,558937.2615,93917.7026,26143.77753,637684.841,46474.40623,77868.02192,374675.79,23906.38111,9231.28245,14657.98284,12668.97024,2733.611903,1431843.075,2222039.269,189362.9368,1314026.7,24941825.86,14497925.79,385657.3153,80828.96306,21183936.53,68261.25575,26075037.19,113556.1151
"HTP0334A2",558937.0411,36989.64337,175674.2754,28947.09081,5390.495945,4470.63549,284.9237539,8628.28301,92012.23358,23487674.07,1151566.326,209777.4071,46272.86174,199.6209447,648705.0793,2174027.41,309521.6679,233900.7089,1854293.032,3542.285468,5369442.912,558154.3189,345310.5533,244881.9069,107626.0194,297056.5789,1059500.998,83123.25194,198830.357,2296687.489,481643.8591,36995.99233,244250.7125,23952.28451,25320.92461,51949.2885,21915.88276,7470108.903,239930.8247,18155.96284,45295.15917,1006966.04,31947.17278,435658.9962,204861.0693,36517.71969,294321.9162,53322.94765,5365500.325,390925.8029,1877899.593,7494932.549,12410.96549,37211.85985,962691.2635,16888.71257,37434.08283,6619783.763,83856.30337,129026.1301,88238.26009,41392.81867,231494.5763,89230.76116,635041.3105,313087.7032,621.301619,1109751.966,56889.64721,22408.20184,155559.4829,5354.906106,4639.251118,69195.06289,23178.36877,49413.20164,50196.32267,1270011.714,10196357.67,388.1906829,1357494.44,1987843.436,100138.51,174594.1517,68878.97985,1785.593253,53117.38759,48745594.21,3201259.376,93074.10083,46692.36231,39576.21553,1710928.832,15788.50695,1342507.971,175708.1433,1992854.016,34796.40716,657086.5287,56609.70617,75544.98802,1159542.968,1223917.886,129026.1301,30239078.35,793186.2111,26496.59832,127479.2177,17717684.42,33257890.87,20943.20359,44031587.42,11088.80722,2728.578485,81371.12316,20864.87212,4030105.279,10130.52167,4004.454578,67461.03352,5504.804783,142207.749,2073210.629,21718.51912,979998.6942,17664.6129,161104.4993,103117.3889,90222.39564,21765683.74,3830812.41,65944143.21,51372.70616,349691.6023,1137534.68,5375.869731,426061.9223,31210309.13,866551.582,88349.84202,10876400.37,568300.2125,154432.4016,60040.69821,471.0120946,16195.18866,517477.0556,39452.37091,95997.39611,3138.577452,504839.58,82290.37404,94353.24133,555928.1551,41638.73796,46742.15274,299881.0225,160493.2739,19513.7289,22416.08782,12487.66898,10111.03549,1058004.675,1527059.236,163935.4532,717571.5361,16802340.87,11103451.5,121562.8445,90491.28543,14451984.17,137546.5676,18219361.02,131521.8224
"HTP0335A2",567984.091,41907.02336,106566.7842,103047.7945,11212.94364,9094.69334,1943.580869,20413.02341,109692.9224,25160021.69,1014310.592,28805.81851,34044.33263,366.0714353,483972.3257,2757858.645,231278.2663,237960.5825,2780066.885,4771.324056,8348164.216,664992.426,132364.4592,160246.9544,58783.70034,166722.9201,630704.4307,58816.07753,174276.7601,1086873.541,80602.5776,39171.76044,117143.481,10098.6418,17118.05974,52647.81224,1310.044454,8924928.439,249975.854,10397.87678,948061.08,1249695.889,114590.8562,342259.3701,529394.5105,87390.95308,852716.0172,69968.21219,4720055.014,1615587.582,1048285.085,5398355.029,3455.143746,23524.20126,744559.0636,16312.1199,7968.353065,3369866.794,119396.7813,87188.44637,91162.17635,162190.1389,697586.9086,51375.99437,880098.5542,405005.4535,893.855557,1478803.194,3742.175475,38383.22209,104397.9312,13675.84006,145792.7823,125975.4884,59996.84346,34859.34835,117185.2632,248513.2454,7995793.961,241.5287266,1461169.448,2391196.006,122089.133,127587.1758,41075.46073,5541.663142,54221.5778,59318752.41,9369662.944,94932.76266,34196.08041,22058.71052,1312192.716,30717.81087,1010973.79,281346.9182,2309734.904,70051.58576,472142.9625,52171.45334,78504.4596,931342.7899,765636.7456,87188.44637,31676199.96,568487.0721,36018.75115,168598.4712,18424919.11,16282846.76,53423.77626,125646345.6,16159.85862,11638.18457,167926.7257,58418.41216,3014437.86,20851.74449,23872.24812,165535.722,19689.93801,153037.6394,1551609.623,21377.93146,1948967.261,17534.36893,121590.0926,132470.7607,111186.0445,38229188.87,16859422.07,102023028.5,68902.97798,499751.1602,1004570.205,4038.744704,425886.161,25039556.39,937194.7063,139339.7628,8403891.29,439375.1882,1714.095194,20812.45812,3995.420491,8844.708927,454218.6278,25977.33368,270382.1322,19889.84928,424167.9121,53336.59613,39409.63774,312737.149,128204.7452,91113.69737,381738.9127,366469.2998,28560.40227,125791.079,22362.51593,7295.378336,327248.0834,1332206.782,136982.558,1126202.508,15797814.32,7996611.587,414407.6402,74973.47083,19023688.13,43685.5848,14353694.82,74388.39585
"HTP0336A",816454.0471,56122.00761,99788.18708,81950.77939,18612.69654,15354.81305,17232.59005,6938.067489,52447.11023,30227210.01,954216.9157,24942.57238,14844.80966,17773.22334,290977.1624,2114127.958,204155.9709,321799.3507,2285012.78,8879.492603,5522875.821,405657.9548,201057.1908,673326.1281,131052.7366,448079.403,1157318.815,241008.2681,310795.7173,2630271.527,69196.60649,34931.62521,275019.655,27049.01107,12555.41441,60440.98816,16025.38992,4187650.702,232091.1394,175513.6636,84781.63638,1533528.28,41384.91567,271878.049,271230.5677,78767.59,60208.84175,9442.875015,5931749.286,1302808.221,6139040.4,2307466.043,9109.480288,21871.18977,182400.0989,13480.20045,29160.5256,3477912.892,124335.9918,56926.67505,46445.20138,80160.17248,1167718.288,162106.4469,2229191.916,213509.7649,5910.164506,5911680.503,38872.16569,18204.59085,231901.4063,3858.299353,4529.393885,119396.5611,35841.22311,46044.52945,53794.13106,496069.0145,6097245.748,3410.450086,1002977.955,1264991.437,148519.5682,87986.87969,43108.76825,71494.29827,33271.60633,93470693.17,47033301.61,67610.82085,77985.92084,32399.68726,1365727.814,35575.56354,2461746.296,816001.2878,6570231.475,246948.8628,433357.6025,34830.25039,75069.63838,767196.1882,404979.555,56926.67505,24306543.58,477820.5131,27374.18432,132376.838,15387641.33,26830420.94,246241.8592,154597901.1,18623.3818,8181.827297,99941.46779,40798.06092,2661958.49,13617.7179,59905.27901,67385.35949,10285.89284,137078.3433,2249580.582,26426.58311,1841645.964,27081.4428,55734.39807,73608.40145,94299.14642,46631844.9,14070861.74,250889626.9,34421.22006,412738.3314,745861.9748,9211.574723,68947.79934,26067123.35,1568611.8,123365.6581,6059665.348,532282.7868,27085.92798,17706.67862,521.1885311,9127.236805,541794.6894,46556.68545,271238.2009,431.5647197,584363.9221,44693.2637,68954.75228,215804.8967,258499.1741,68608.81509,375404.4819,129487.962,32189.58473,106584.4455,26559.39365,7899.415035,2009150.789,1092891.968,145760.7775,1928026.575,13962984.49,7573859.436,114918.9365,13557.08426,12488547.91,51986.36702,19571006.91,175758.8961
"HTP0337A",306978.9782,29751.68843,189082.5532,25033.07058,5512.244176,4960.210676,302.0172782,34001.02917,66712.7998,27432855.11,1357051.042,68680.91999,37133.13967,2027.591226,341400.4839,2621900.99,313322.504,247698.1557,1607302.8,3376.764125,4783871.576,592297.8696,144547.0965,202961.6635,94426.50929,148329.377,762329.2359,62637.02401,232426.8048,1908529.958,67522.46602,28106.12868,317424.4002,29163.3018,43943.6856,50038.37431,20335.77318,6571341.314,328945.5642,10162.75943,66827.31224,2194472.391,35015.7119,295811.6886,447730.3078,95337.16363,159322.4564,49086.33912,4674745.748,2099350.807,4230587.269,7183376.807,15911.70874,52603.08843,303847.2267,20084.35541,13784.52798,5293128.4,117554.3126,128778.0619,116986.2959,114450.1215,381827.9046,69379.30592,667038.4415,386232.7575,2469.420292,1874621.915,19709.00045,24573.13873,98225.95709,4806.626241,203802.0951,60309.4411,68419.49372,38211.39442,91440.50668,452784.8747,6569652.444,5356.913622,1158864.135,1003314.17,81392.6085,125235.0846,89120.1833,3061.386323,70585.47112,28152652.5,4080015.242,122574.8236,44991.45836,25054.35645,1810571.975,22697.78584,302715.0453,412216.2644,3487856.069,178065.1124,611375.8701,68928.81636,142547.6914,1133105.958,634031.9158,128778.0619,28100180.67,677957.7497,30344.51444,109315.264,14628583.85,38634730.13,28751.9494,32345762.93,11119.72557,1534.788893,58336.21458,24735.71331,5254141.798,5852.862739,17565.27566,140757.6979,10622.65649,140547.1504,2888086.523,27762.74734,3255665.94,25539.86228,131775.176,62342.91214,86301.82321,15106459.63,3609176.016,39352668.32,83831.85096,352142.1155,1249273.616,7175.087698,171222.895,39531349.81,1353342.68,146880.3329,9044345.588,529881.5239,160525.6088,41805.0336,1108.515885,6504.834245,359413.0366,10739.89354,95240.75395,25488.95154,305513.3904,31956.36059,242846.1139,253451.2245,45239.34882,88181.11567,331524.0275,21573.80345,9993.127124,19529.83733,14833.19891,2930.526081,346650.743,1253047.825,188491.8209,1245347.174,19538589.4,13618363.17,602073.7786,45420.27899,17050806.16,84542.09245,20369391.46,113014.8977
"HTP0338B",782734.6208,50845.47696,180590.0686,27003.52646,2106.102163,1645.245328,321.1772156,16782.27701,71995.38116,34429692.21,2956882.566,84910.56432,47599.89701,2789.90822,553833.0517,4729292.687,233143.9965,475653.2419,3274882.204,1087.616436,8128841.818,978038.7488,115357.139,130103.5182,67868.41262,104950.769,627585.9415,69398.65198,160184.8355,1383188.136,119625.2194,39291.6174,493073.8425,28569.36218,23333.12728,49492.68591,12059.89128,18318331.66,529736.1389,6887.512896,1411979.327,6716681.407,65914.90718,1579798.444,309511.2252,49533.75887,150980.5675,114658.3811,11915411.21,1980916.531,2463374.552,11577479.81,14555.5,32240.11374,793593.5961,12730.0355,14894.01429,8919005.333,139360.8767,120498.2056,67221.00576,95590.6419,593949.3849,41640.58046,597483.2216,922747.8095,3023.125935,986505.8012,31000.90305,24178.99362,129277.5287,9027.705932,3379.776185,50892.31315,43935.31454,45632.08524,159834.6671,722277.6796,20894155.06,5190.78318,3154866.59,4323255.363,896543.3048,386295.7336,79812.34732,1349.005901,56307.05484,56998675.14,3042037.929,96862.33573,87286.70676,24987.97245,5960104.679,11783.09542,1025848.96,94962.72393,1578505.976,157912.9731,1181675.06,101981.3663,34186.26532,912091.0199,1665670.573,120498.2056,50248757.74,1498013.582,73263.12305,395602.1744,19721149.62,63347199.87,13741.72806,45025370.21,25155.19714,2368.596529,81875.92695,18188.54279,6177426.317,4395.759087,16791.46671,94028.97477,3651.441994,168324.1493,7444496.707,22178.37287,1773769.761,14772.49726,101120.2966,219842.4593,196057.1223,45886043.17,4187749.546,63533352.83,61549.10696,977409.7182,2110633.561,11367.42175,80914.48416,73578194.75,1428860.972,251067.3324,25408671.67,1011507.415,557.8321652,86531.86884,921.6207654,8122.15204,567785.3972,68877.39785,87318.47959,401.060618,2226478.408,72726.64814,165084.5899,449366.915,15553.1709,52083.25738,462715.6349,583243.2226,130432.6894,211557.0969,10677.731,9622.44472,1243147.189,5449238.953,252926.5166,1801972.363,49353536.29,28342172.09,43438.42618,63759.73833,39721258.07,17089.7206,43945648.7,85256.09511
"HTP0339A",443565.8269,71315.66322,153064.0824,34367.8935,6209.367396,4380.566517,789.2510709,20217.98284,86013.98276,27629158.39,1357143.841,312964.3648,30561.14866,827.3157373,469983.1695,3836528.187,189544.7251,325331.029,2757229.993,5107.827844,7122649.295,1169505.137,176149.5625,377668.6518,78900.11463,226131.8479,592392.7887,80407.04563,134308.9196,1095400.714,456797.3059,67546.81868,264919.5861,50406.1389,53405.15339,65267.66008,20907.57983,4378673.263,199575.6659,28374.40945,57125.69275,3110003.329,46130.18054,294232.3179,587423.9094,34546.57281,193396.3765,217280.5273,6163050.7,836270.954,2773514.563,6100517.324,14896.29935,35791.33984,225400.9126,14268.96409,7842.769847,4576859.623,149544.1004,97561.33239,80061.53938,79260.13497,253046.1276,44246.95608,591672.7522,428367.7644,4409.082192,1526335.716,12258.82009,16723.92662,121830.6911,8555.998167,96143.50212,56876.46801,56949.7363,39092.34226,138225.459,441652.3218,6319525.656,4647.980618,1082938.78,370363.1501,73479.27566,137391.6165,27661.00976,814.6172248,59342.9131,36172367.36,10817691.72,116387.1194,71365.45666,19423.88468,1358551.737,16095.93664,1280564.475,184654.6218,2459898.273,41469.06063,573067.9238,67978.84521,57336.10908,853214.4903,901126.4699,97561.33239,31428197.81,286784.9598,27723.05043,262619.393,20341541.09,42134637.65,68708.48323,44511052.97,8618.642962,2772.975371,77399.33953,34046.93538,2428500.222,7531.527769,1425.093447,126264.8541,11298.71597,102128.8639,3213821.619,23314.26262,4619655.903,56305.73399,155216.9551,126348.6582,189424.3746,20566318.83,4842409.189,73222753.84,61627.43831,317967.666,661983.932,9219.029186,92174.46686,42588461.24,1143483.737,233525.3273,10126694.99,758927.8331,101842.1834,27401.37058,744.6564179,2831.033796,423710.4196,28046.92085,106789.2424,18848.27274,507603.9106,84318.02999,57841.8157,440785.3401,70013.69505,103297.7868,292251.8181,30099.02425,18558.26153,11647.56524,11676.95763,4560.584509,751573.0228,991568.2896,116490.817,1745190.504,19777644.08,17132772.77,353648.8546,87239.67159,19973241.28,97670.65299,29384553.65,207885.7076
"HTP0340A",484429.1623,34294.8951,134567.3477,19532.12501,6054.609644,5144.168682,2159.029521,34755.11005,69510.12931,24914794.3,1368707.857,29545.78823,57780.88558,2751.80394,486546.4394,2403792.508,239403.642,258106.9821,2044169.068,3874.898734,6779547.153,871887.5895,148699.6035,196788.7241,55153.39984,125157.3,360544.3894,28891.68306,165450.1813,704075.5528,76916.58738,26402.44812,285889.2676,29878.41391,33867.31935,48692.62986,13636.7064,5275355.866,335968.477,4130.007797,91640.91135,2051589.878,24966.04058,395595.31,542074.9778,80352.55584,60600.47889,23767.44713,4539357.678,2144084.781,2709613.256,7103518.111,14883.00294,44759.48649,314493.5879,14636.23523,12526.85233,3715298.804,44162.95499,87823.41315,124238.3911,85732.78984,37476.54996,90213.91088,509633.3103,476479.7813,9599.928743,1687221.576,14215.82784,17862.07488,142194.5234,4588.423851,253447.3847,101672.3748,53077.31379,44189.98637,95720.94895,288900.4001,8099500.45,3428.071933,1224916.574,2267231.126,303981.648,103595.0905,42035.54831,1901.985595,88315.38997,38264975.57,3080495.519,140689.4685,105910.5352,25881.61903,2174846.689,20579.62598,316995.4585,157483.6499,1817378.774,282526.7493,570218.1326,65683.3338,131570.0224,1125148.372,564766.6125,87823.41315,30412919.83,462366.2917,96836.11764,386972.4032,5634930.669,38471137.94,21659.74241,31190500.62,13080.95111,2745.458202,144953.7207,30006.41798,4996142.205,11863.7797,17283.34179,85887.83317,6513.859818,84188.76287,2797842.653,29668.18961,3755511.796,196698.1933,144961.8721,301392.7163,387103.0479,35579479.87,3398420.938,55517421.28,56368.11007,886238.1621,1330308.033,5865.883184,216177.0423,43165694.57,2100505.642,116166.5058,8489954.291,598534.6258,4380.789485,28321.98655,6215.860031,473.1507201,284616.3687,14375.36611,74176.81226,37820.7412,489981.6421,15822.93782,81117.65741,128978.8621,44500.62175,75875.12,331261.986,373583.9032,71975.6233,67654.29634,21535.33771,15944.96622,667665.5479,1437101.544,238808.4999,1099330.081,18902866.62,11019138.99,696434.3622,13409.52311,16955352.7,33797.81803,21041975.78,110015.8341
"HTP0341A",731946.7175,33403.61855,189323.5262,83939.69577,7374.978459,6184.578921,2863.990796,43181.25992,91295.0859,31443828,1497721.203,101653.7719,42383.5136,267.8315861,447384.1933,2916851.062,346871.0367,270500.0376,2283005.647,2373.366131,7708721.302,775254.4786,156377.4899,311023.3667,93984.94591,195907.6591,694220.3561,110869.0106,293986.5253,3221451.299,114419.877,32702.29064,257143.3045,17915.97703,16309.77557,59136.50113,1451.415589,6568429.413,405632.7465,13871.87018,322653.527,1607479.222,53225.37485,669806.2404,572213.0424,57865.36412,47086.42206,33707.42812,4886559.711,1469454.012,12912597.17,6012863.921,16800.14994,11855.57547,248606.378,28723.6133,9929.368847,6062023.07,117809.1963,132544.086,119805.7871,168923.2834,109126.6849,33621.88291,645141.734,305451.9661,6874.530566,4223191.451,9064.332925,7927.11798,128030.9992,6705.05358,204630.14,51758.12137,84568.96405,52316.78742,76816.073,663610.1507,8223463.527,2108.792116,1660978.547,291692.5365,57776.23529,69433.16754,31567.44425,2021.789535,73203.08397,47824380.85,17548087.9,151667.3024,59737.30171,29027.13939,2576615.149,23045.65304,2597061.927,665580.2125,926633.1463,247044.1907,611196.5667,70434.7679,43450.51367,1375786.281,605102.3165,132544.086,34010284.07,544898.2418,38683.35728,57139.73752,25124047.42,31957495.7,112271.7119,98767436.83,12354.01983,2943.48853,101925.0142,16984.42565,3743607.655,12268.30037,5438.639609,157731.7663,22794.18274,302345.7708,2858928.184,24252.10297,3067898.807,44295.88492,194082.641,79442.18577,46808.51219,24274618.47,10482978.8,139385041.2,76778.37244,286511.6708,1555417.697,6212.040959,126464.2047,26159235.36,2072043.292,157981.66,13675544.65,738698.3222,11257.75203,42921.16064,682.5412605,1695.002362,566380.4333,16873.49764,179695.9346,19141.98078,942875.1667,44172.27117,27365.4615,278716.7441,122872.6427,86511.19852,434141.6974,26886.78494,12862.99741,23169.45199,17395.69089,2860.426182,453141.1243,1949621.921,143727.5996,2111542.211,24004115.47,12216015.41,524547.8764,66233.082,16523489.19,102495.2183,18277132.43,101569.3009
"HTP0342A",311745.8586,28980.93276,117730.7965,12507.14198,6582.969763,3625.435161,981.5099954,15118.81296,54908.29887,14917802.63,5868323.126,38056.8609,19710.46683,200.1267194,473634.2904,3590835.937,255654.7346,349680.8842,2931656.22,3420.496792,11600827.93,402238.0447,76401.20564,121615.6344,66461.29757,89721.97063,524357.3088,62966.75958,169139.1886,1587610.978,438587.2582,17353.53789,222384.3992,38273.99065,6430.799394,34046.00398,5446.963017,6512272.377,277751.493,10393.97684,23717.92344,1997523.641,41499.96151,507106.3319,464979.8924,56245.80981,78790.47995,28267.47513,5848452.469,230639.5812,5862596.056,4115600.728,12477.1754,45134.19413,422293.4514,10759.26667,5776.197049,4087371.043,136323.3601,82483.19313,124481.6132,34883.66348,335373.5568,31919.53684,473762.904,410192.1807,526.8383748,771562.9355,23873.1278,15666.36793,114182.3657,18003205.08,107470.8566,45601.59565,32132.24008,25410.14822,63384.0418,478947.5653,14248501.8,7975.523097,2104523.611,1716859.746,363883.1106,68948.692,72108.95043,798.4411633,55283.71025,30521513.79,2349775.877,122062.488,88103.6408,18298.84851,2005860.082,14088.92183,490377.3457,159466.773,2137794.342,26307.70144,463298.8805,45245.71788,75714.24583,929911.9414,1391509.928,82483.19313,42748028.36,628466.9537,139217.1448,329208.3132,30776792.8,31340234.61,16267.08947,21293617.69,13000.94737,2261.502565,48511.10968,24239.50158,5898876.548,8126.578434,469.0939666,75593.22138,14036.22279,156939.8505,2389121.423,27124.51193,1444287.575,69365.2059,193067.9241,277158.2925,160558.4693,24384687.93,2003457.512,24129619.42,58617.62592,777419.9542,1151221.621,3729.726621,440539.6626,26833300.52,762708.3552,118082.9942,9006896.812,888157.4545,216100.4889,30830.79419,564.3001856,217.630229,407556.9567,10239.97452,56761.5239,7306.386803,1110180.927,105251.7769,439369.1074,525663.7269,28109.16504,99702.63154,474599.7812,190591.8033,75349.49565,320382.322,21837.20216,3632.296751,1378199.53,4321400.912,176829.3899,1012967.435,17436390.12,9752022.997,256382.3636,103770.3839,17348927.25,17845.49628,16831071.55,57694.27547
